season,week,celebrity_name,judge_rank,audience_rank,rank_diff_rank,rank_direction_rank,survival_prob
27,6,John Schneider,9.0,7.0,2.0,2.0,0.6997171661414003
27,9,Alexis Ren,3.0,1.0,2.0,2.0,0.3531245592691653
27,9,Bobby Bones,4.0,2.0,2.0,2.0,0.058653396152318016
28,3,James Van Der Beek,3.0,1.0,2.0,2.0,0.9808921035112883
28,3,Kel Mitchell,6.0,4.0,2.0,2.0,0.9409305931113787
28,4,Sailor Brinkley-Cook,5.0,3.0,2.0,2.0,0.9324213276152766
28,6,Kel Mitchell,4.0,2.0,2.0,2.0,0.935327223944977
29,3,Veron Davis,4.0,2.0,2.0,2.0,1.0
29,4,Johnny Weir,3.0,1.0,2.0,2.0,0.9972841862908475
29,4,Veron Davis,8.0,6.0,2.0,2.0,0.9493051476860251
29,5,Nev Schulman,3.0,1.0,2.0,2.0,1.0
29,5,Veron Davis,10.0,8.0,2.0,2.0,0.8548645378622854
29,7,AJ McLean,5.0,3.0,2.0,2.0,0.9405890674488947
29,9,Nev Schulman,3.0,1.0,2.0,2.0,0.9132885545912824
30,2,Kenya Moore,10.0,8.0,2.0,2.0,0.9459117696609407
30,3,Cody Rigsby,14.0,12.0,2.0,2.0,0.7867274943945668
30,3,Jimmie Allen,10.0,8.0,2.0,2.0,0.9038429101291259
30,4,Amanda Kloots,4.0,2.0,2.0,2.0,0.975581490810302
30,6,Amanda Kloots,3.0,1.0,2.0,2.0,0.9741483442071575
30,8,Jimmie Allen,8.0,6.0,2.0,2.0,0.7397214512364683
30,9,Melora Hardin,5.0,3.0,2.0,2.0,0.7350452036906937
30,9,Suni Lee,3.0,1.0,2.0,2.0,0.81535205943378
30,10,Amanda Kloots,3.0,1.0,2.0,2.0,0.30242663804541825
30,10,Cody Rigsby,4.0,2.0,2.0,2.0,0.07213854358685512
31,4,Daniel Durant,9.0,7.0,2.0,2.0,0.9188429229615964
31,4,Jordin Sparks,4.0,2.0,2.0,2.0,0.9853544193464917
31,4,Trevor Donovan,11.0,9.0,2.0,2.0,0.8371232223848647
31,5,Jordin Sparks,9.0,7.0,2.0,2.0,0.9358650991581579
31,5,Selma Blair,4.0,2.0,2.0,2.0,0.9919205980099336
31,6,Wayne Brady,5.0,3.0,2.0,2.0,0.9394245373685316
31,8,Gabby Windey,4.0,2.0,2.0,2.0,0.9195710238367687
31,9,Wayne Brady,3.0,1.0,2.0,2.0,0.8464035446968741
31,10,Wayne Brady,3.0,1.0,2.0,2.0,0.2841400702052227
32,3,Adrian Peterson,11.0,9.0,2.0,2.0,0.7654335391382043
32,3,Xochitl Gomez,3.0,1.0,2.0,2.0,1.0
32,5,Mira Sorvino,8.0,6.0,2.0,2.0,0.8246244933213911
32,7,Charity Lawson,4.0,2.0,2.0,2.0,0.8536685838831566
32,8,Jason Mraz,6.0,4.0,2.0,2.0,0.7854989509037283
32,10,Ariana Madix,3.0,1.0,2.0,2.0,0.8651028185336012
32,11,Alyson Hannigan,5.0,3.0,2.0,2.0,0.03147994532090814
32,11,Ariana Madix,3.0,1.0,2.0,2.0,0.35763286454862697
33,7,Stephen Nedoroscik,3.0,1.0,2.0,2.0,0.8837616597102255
33,9,Ilona Maher,4.0,2.0,2.0,2.0,0.28474700604262837
34,4,Dylan Efron,5.0,3.0,2.0,2.0,0.9673600303503979
34,7,Elaine Hendrix,8.0,6.0,2.0,2.0,0.8162493601206844
34,8,Dylan Efron,4.0,2.0,2.0,2.0,0.8832239783481399
34,9,Alix Earle,4.0,2.0,2.0,2.0,0.8546679136669548
34,11,Dylan Efron,4.0,2.0,2.0,2.0,0.24967769650123584
2,1,Jerry Rice,5.0,7.0,2.0,-2.0,0.9448826992977069
2,5,George Hamilton,4.0,6.0,2.0,-2.0,0.7730214569087391
2,7,Drew Lachey,1.0,3.0,2.0,-2.0,0.9137011890186928
2,8,Drew Lachey,1.0,3.0,2.0,-2.0,0.363447654070857
3,2,Emmitt Smith,3.0,5.0,2.0,-2.0,0.9765295699483149
3,2,Joey Lawrence,1.0,3.0,2.0,-2.0,1.0
3,2,Sara Evans,7.0,9.0,2.0,-2.0,0.846495906968137
3,3,Sara Evans,3.0,5.0,2.0,-2.0,0.9411893458900294
3,3,Vivica A. Fox,1.0,3.0,2.0,-2.0,0.9750610410815569
3,3,Willa Ford,4.0,6.0,2.0,-2.0,0.9261690135267663
3,4,Emmitt Smith,4.0,6.0,2.0,-2.0,0.8755211775500145
3,5,Mario Lopez,1.0,3.0,2.0,-2.0,0.908668198610092
3,6,Emmitt Smith,2.0,4.0,2.0,-2.0,0.8519808901505883
3,9,Emmitt Smith,1.0,3.0,2.0,-2.0,0.8022025479597723
4,2,Paulina Porizkova,6.0,8.0,2.0,-2.0,0.8951134720730614
4,5,Apolo Anton Ohno,1.0,3.0,2.0,-2.0,1.0
4,9,Laila Ali,1.0,3.0,2.0,-2.0,0.8346542246716302
4,10,Apolo Anton Ohno,1.0,3.0,2.0,-2.0,0.32329018631366246
5,2,Albert Reed,5.0,7.0,2.0,-2.0,0.9322298417964557
5,2,Cameron Mathison,5.0,7.0,2.0,-2.0,0.9322298417964557
5,2,Jennie Garth,5.0,7.0,2.0,-2.0,0.9322298417964557
5,4,Jennie Garth,2.0,4.0,2.0,-2.0,0.9828537309338196
5,5,Cameron Mathison,3.0,5.0,2.0,-2.0,0.9410699416093739
5,6,Jennie Garth,3.0,5.0,2.0,-2.0,0.9071174197792269
5,8,Helio Castroneves,1.0,3.0,2.0,-2.0,0.8504883774187151
5,9,Helio Castroneves,1.0,3.0,2.0,-2.0,0.8560456209169278
5,10,Mel B,1.0,3.0,2.0,-2.0,0.3669684014937441
6,5,Mario,2.0,4.0,2.0,-2.0,0.9324852130730721
6,7,Marissa Jaret Winokur,3.0,5.0,2.0,-2.0,0.8304826433636316
6,10,Kristi Yamaguchi,1.0,3.0,2.0,-2.0,0.36175082860339425
7,1,Toni Braxton,2.0,4.0,2.0,-2.0,1.0
7,2,Brooke Burke,1.0,3.0,2.0,-2.0,0.997067970125858
7,2,Cody Linley,4.0,6.0,2.0,-2.0,0.9376870286604533
7,3,Maurice Greene,3.0,5.0,2.0,-2.0,0.9467833269391851
7,4,Cody Linley,4.0,6.0,2.0,-2.0,0.9325380218876336
7,7,Lance Bass,2.0,4.0,2.0,-2.0,0.8741528253274752
7,10,Brooke Burke,1.0,3.0,2.0,-2.0,0.36682022201510156
8,2,Belinda Carlisle,9.0,11.0,2.0,-2.0,0.8534932398495709
8,2,Lawrence Taylor,6.0,8.0,2.0,-2.0,0.9605728347227265
8,2,Steve Wozniak,11.0,13.0,2.0,-2.0,0.7879952136116796
8,3,David Alan Grier,5.0,7.0,2.0,-2.0,0.9374526446652444
8,4,David Alan Grier,6.0,8.0,2.0,-2.0,0.9105915474684375
8,4,Melissa Rycroft,2.0,4.0,2.0,-2.0,1.0
8,5,Lil' Kim,2.0,4.0,2.0,-2.0,0.9759979815710929
8,6,Melissa Rycroft,2.0,4.0,2.0,-2.0,0.9395042220170058
8,7,Chuck Wicks,3.0,5.0,2.0,-2.0,0.8793865384780476
8,7,Melissa Rycroft,1.0,3.0,2.0,-2.0,0.9636987045585481
8,10,Gilles Marini,1.0,3.0,2.0,-2.0,0.8784607269945454
8,11,Shawn Johnson,1.0,3.0,2.0,-2.0,0.3410263743305535
9,1,Kelly Osbourne,4.0,6.0,2.0,-2.0,1.0
9,1,Michael Irvin,14.0,16.0,2.0,-2.0,0.8502550851867867
9,2,Aaron Carter,1.0,3.0,2.0,-2.0,1.0
9,2,Chuck Liddell,9.0,11.0,2.0,-2.0,0.8772013276610878
9,2,Mya,1.0,3.0,2.0,-2.0,1.0
9,3,Melissa Joan Hart,8.0,10.0,2.0,-2.0,0.8778283565784842
9,5,Aaron Carter,4.0,6.0,2.0,-2.0,0.9129816687790343
9,5,Mya,2.0,4.0,2.0,-2.0,0.9595952288577194
9,6,Mya,2.0,4.0,2.0,-2.0,1.0
9,7,Aaron Carter,2.0,4.0,2.0,-2.0,0.8828692194578318
9,10,Donny Osmond,1.0,3.0,2.0,-2.0,0.2888034342701713
10,1,Nicole Scherzinger,1.0,3.0,2.0,-2.0,1.0
10,2,Niecy Nash,5.0,7.0,2.0,-2.0,0.921594737295392
10,3,Evan Lysacek,1.0,3.0,2.0,-2.0,1.0
10,3,Niecy Nash,4.0,6.0,2.0,-2.0,0.9191067266327323
10,5,Jake Pavelka,3.0,5.0,2.0,-2.0,0.9234830809344391
10,6,Chad Ochocinco,3.0,5.0,2.0,-2.0,0.9107038271470129
10,9,Nicole Scherzinger,1.0,3.0,2.0,-2.0,0.8735239939954714
10,10,Nicole Scherzinger,1.0,3.0,2.0,-2.0,0.3487619374584574
11,3,Brandy,2.0,4.0,2.0,-2.0,0.9659146329396218
11,3,The Situation,7.0,9.0,2.0,-2.0,0.7891439249864891
11,6,Brandy,1.0,3.0,2.0,-2.0,1.0
11,7,Brandy,1.0,3.0,2.0,-2.0,0.859595763433574
11,7,Kurt Warner,3.0,5.0,2.0,-2.0,0.7402019900086405
11,10,Jennifer Grey,1.0,3.0,2.0,-2.0,0.38141858509029314
12,2,Sugar Ray Leonard,9.0,11.0,2.0,-2.0,0.7513107951457014
12,3,Ralph Macchio,5.0,7.0,2.0,-2.0,0.9312902186345244
12,4,Romeo,4.0,6.0,2.0,-2.0,0.9338260830444024
12,5,Hines Ward,1.0,3.0,2.0,-2.0,0.9502274269047318
12,5,Kendra Wilkinson,6.0,8.0,2.0,-2.0,0.818902777953282
12,5,Kirstie Alley,5.0,7.0,2.0,-2.0,0.8332533877137597
12,7,Hines Ward,1.0,3.0,2.0,-2.0,0.8533395570292996
12,8,Kirstie Alley,3.0,5.0,2.0,-2.0,0.7605123778787003
12,10,Hines Ward,1.0,3.0,2.0,-2.0,0.36380390168796306
13,1,David Arquette,6.0,8.0,2.0,-2.0,0.8896220560585208
13,2,Carson Kressley,9.0,11.0,2.0,-2.0,0.7731046500510929
13,2,J.R. Martinez,2.0,4.0,2.0,-2.0,0.9811193926840465
13,3,Hope Solo,4.0,6.0,2.0,-2.0,0.9406938048345309
13,3,Ricki Lake,1.0,3.0,2.0,-2.0,1.0
13,4,Chaz Bono,6.0,8.0,2.0,-2.0,0.7659695502542163
13,7,Ricki Lake,1.0,3.0,2.0,-2.0,0.9031847066830919
13,8,Hope Solo,2.0,4.0,2.0,-2.0,0.7942302195284879
13,8,J.R. Martinez,1.0,3.0,2.0,-2.0,0.8804785966208437
13,10,Rob Kardashian,1.0,3.0,2.0,-2.0,0.2871712870763945
14,1,William Levy,3.0,5.0,2.0,-2.0,1.0
14,2,Gavin DeGraw,8.0,10.0,2.0,-2.0,0.8455282719305376
14,3,Donald Driver,4.0,6.0,2.0,-2.0,0.9711565440762329
14,3,Gladys Knight,7.0,9.0,2.0,-2.0,0.8487235834640322
14,3,Katherine Jenkins,1.0,3.0,2.0,-2.0,1.0
14,4,Donald Driver,1.0,3.0,2.0,-2.0,1.0
14,4,Gavin DeGraw,5.0,7.0,2.0,-2.0,0.8696325994557224
14,5,Katherine Jenkins,1.0,3.0,2.0,-2.0,1.0
14,5,Maria Menounos,3.0,5.0,2.0,-2.0,0.9753153008085936
14,5,William Levy,1.0,3.0,2.0,-2.0,1.0
14,6,Jaleel White,2.0,4.0,2.0,-2.0,1.0
14,6,Melissa Gilbert,5.0,7.0,2.0,-2.0,0.806092339758945
14,7,Katherine Jenkins,2.0,4.0,2.0,-2.0,0.8998054342432193
14,7,William Levy,3.0,5.0,2.0,-2.0,0.8619370436833403
14,8,Roshon Fegan,2.0,4.0,2.0,-2.0,0.7982874501447664
14,10,Katherine Jenkins,1.0,3.0,2.0,-2.0,0.3052881314327165
15,1,Emmitt Smith,1.0,3.0,2.0,-2.0,1.0
15,2,Apolo Anton Ohno,4.0,6.0,2.0,-2.0,0.9651579803289589
15,2,Drew Lachey,7.0,9.0,2.0,-2.0,0.898901068587752
15,2,Sabrina Bryan,1.0,3.0,2.0,-2.0,1.0
15,2,Shawn Johnson,3.0,5.0,2.0,-2.0,0.9796351955781488
15,4,Gilles Marini,1.0,3.0,2.0,-2.0,0.9666640041140077
16,2,Ingo Rademacher,5.0,7.0,2.0,-2.0,0.9540938792044196
16,2,Kellie Pickler,1.0,3.0,2.0,-2.0,1.0
16,2,Zendaya,1.0,3.0,2.0,-2.0,1.0
16,3,Ingo Rademacher,6.0,8.0,2.0,-2.0,0.9059096514143237
16,4,Alexandra Raisman,1.0,3.0,2.0,-2.0,1.0
16,4,Andy Dick,6.0,8.0,2.0,-2.0,0.816860002071374
16,5,Kellie Pickler,2.0,4.0,2.0,-2.0,0.9783052875519108
16,5,Zendaya,1.0,3.0,2.0,-2.0,1.0
16,6,Sean Lowe,4.0,6.0,2.0,-2.0,0.827563444373221
16,9,Alexandra Raisman,1.0,3.0,2.0,-2.0,0.8676303352892873
16,10,Kellie Pickler,1.0,3.0,2.0,-2.0,0.33827767183473445
17,3,Christina Milian,2.0,4.0,2.0,-2.0,1.0
17,3,Corbin Bleu,2.0,4.0,2.0,-2.0,1.0
17,4,"Nicole ""Snooki"" Polizzi",4.0,6.0,2.0,-2.0,0.949793189118991
17,5,"Nicole ""Snooki"" Polizzi",3.0,5.0,2.0,-2.0,0.9403131373434672
17,6,Brant Daugherty,3.0,5.0,2.0,-2.0,0.930188872549813
17,6,Elizabeth Berkley Lauren,2.0,4.0,2.0,-2.0,0.9714391246888028
17,7,Brant Daugherty,3.0,5.0,2.0,-2.0,0.8650790476585453
17,8,Leah Remini,3.0,5.0,2.0,-2.0,0.8107664474447969
17,9,Leah Remini,3.0,5.0,2.0,-2.0,0.7805687515470469
17,10,Amber Riley,1.0,3.0,2.0,-2.0,0.8141541717557808
18,2,Charlie White,1.0,3.0,2.0,-2.0,1.0
18,2,James Maslow,1.0,3.0,2.0,-2.0,1.0
18,2,Meryl Davis,1.0,3.0,2.0,-2.0,1.0
18,4,Drew Carey,4.0,6.0,2.0,-2.0,0.8888463473248251
18,4,NeNe Leakes,6.0,8.0,2.0,-2.0,0.8381782063080837
18,5,Amy Purdy,3.0,5.0,2.0,-2.0,0.9668007016092235
18,6,Charlie White,3.0,5.0,2.0,-2.0,0.8897115547083357
18,6,Meryl Davis,1.0,3.0,2.0,-2.0,0.9583924500700273
18,8,Candace Cameron Bure,4.0,6.0,2.0,-2.0,0.629870331556825
19,2,Bethany Mota,3.0,5.0,2.0,-2.0,0.9825586761727199
19,2,Betsey Johnson,8.0,10.0,2.0,-2.0,0.8618213349528254
19,3,Bethany Mota,1.0,3.0,2.0,-2.0,1.0
19,3,Janel Parrish,1.0,3.0,2.0,-2.0,1.0
19,3,Sadie Robertson,4.0,6.0,2.0,-2.0,0.9375579669193002
19,6,Bethany Mota,2.0,4.0,2.0,-2.0,0.9429968028828472
19,6,Michael Waltrip,7.0,9.0,2.0,-2.0,0.593092564645552
19,7,Alfonso Ribeiro,3.0,5.0,2.0,-2.0,0.8674555841463965
19,7,Lea Thompson,2.0,4.0,2.0,-2.0,0.8983624189711005
19,9,Janel Parrish,1.0,3.0,2.0,-2.0,0.9161449762899108
19,10,Bethany Mota,2.0,4.0,2.0,-2.0,0.8148888754158747
19,10,Janel Parrish,1.0,3.0,2.0,-2.0,0.8670688074897805
20,1,Rumer Willis,1.0,3.0,2.0,-2.0,1.0
20,2,Patti LaBelle,6.0,8.0,2.0,-2.0,0.9244272165636302
20,2,Suzanne Somers,6.0,8.0,2.0,-2.0,0.9244272165636302
20,3,Nastia Liukin,1.0,3.0,2.0,-2.0,1.0
20,3,Riker Lynch,1.0,3.0,2.0,-2.0,1.0
20,5,Chris Soules,7.0,9.0,2.0,-2.0,0.7256077230105069
20,6,Nastia Liukin,2.0,4.0,2.0,-2.0,0.9057145623459587
20,6,Riker Lynch,1.0,3.0,2.0,-2.0,0.9337301107084379
20,7,Noah Galloway,3.0,5.0,2.0,-2.0,0.8179677305815672
20,8,Chris Soules,4.0,6.0,2.0,-2.0,0.6520349286459937
20,8,Rumer Willis,1.0,3.0,2.0,-2.0,0.883330851112822
20,9,Nastia Liukin,1.0,3.0,2.0,-2.0,0.7966981495654866
20,10,Rumer Willis,1.0,3.0,2.0,-2.0,0.299248763689017
21,2,Kim Zolciak-Biermann,9.0,11.0,2.0,-2.0,0.8490276814036386
21,3,Alek Skarlatos,3.0,5.0,2.0,-2.0,0.9703022385701301
21,6,Bindi Irwin,1.0,3.0,2.0,-2.0,1.0
21,7,Alexa PenaVega,5.0,7.0,2.0,-2.0,0.7954980720606569
21,7,Bindi Irwin,1.0,3.0,2.0,-2.0,0.9199892226453458
21,9,Bindi Irwin,1.0,3.0,2.0,-2.0,0.9029751363662095
21,10,Bindi Irwin,1.0,3.0,2.0,-2.0,0.8763160381534919
21,11,Carlos PenaVega,1.0,3.0,2.0,-2.0,0.35875299519265336
22,1,Ginger Zee,1.0,3.0,2.0,-2.0,1.0
22,1,Marla Maples,4.0,6.0,2.0,-2.0,0.9824484932664794
22,1,Nyle DiMarco,1.0,3.0,2.0,-2.0,1.0
22,1,Paige VanZant,4.0,6.0,2.0,-2.0,0.9824484932664794
22,1,Wanya Morris,1.0,3.0,2.0,-2.0,1.0
22,2,Von Miller,5.0,7.0,2.0,-2.0,0.9694885810942
22,3,Doug Flutie,8.0,10.0,2.0,-2.0,0.8625842808445859
22,3,Nyle DiMarco,1.0,3.0,2.0,-2.0,1.0
22,3,Wanya Morris,2.0,4.0,2.0,-2.0,0.9778660768887504
22,4,Antonio Brown,3.0,5.0,2.0,-2.0,0.9470645081021295
22,4,Paige VanZant,1.0,3.0,2.0,-2.0,0.9736789491715071
22,5,Doug Flutie,7.0,9.0,2.0,-2.0,0.7046423337163515
22,5,Ginger Zee,3.0,5.0,2.0,-2.0,0.9068855236217062
22,6,Kim Fields,6.0,8.0,2.0,-2.0,0.8113474895166055
22,7,Antonio Brown,5.0,7.0,2.0,-2.0,0.7900888193120983
22,10,Paige VanZant,1.0,3.0,2.0,-2.0,0.35500101904120085
23,1,James Hinchcliffe,1.0,3.0,2.0,-2.0,1.0
23,1,Laurie Hernandez,1.0,3.0,2.0,-2.0,1.0
23,2,Jake T. Austin,10.0,12.0,2.0,-2.0,0.747861780988823
23,2,Jana Kramer,4.0,6.0,2.0,-2.0,0.9782845826277151
23,2,Terra Jole,2.0,4.0,2.0,-2.0,1.0
23,3,Amber Rose,8.0,10.0,2.0,-2.0,0.8015916451485374
23,3,Marilu Henner,5.0,7.0,2.0,-2.0,0.9081089278796252
23,3,Ryan Lochte,8.0,10.0,2.0,-2.0,0.8015916451485374
23,4,Maureen McCormick,4.0,6.0,2.0,-2.0,0.9433434587343021
23,4,Ryan Lochte,9.0,11.0,2.0,-2.0,0.8057168468282647
23,5,Amber Rose,6.0,8.0,2.0,-2.0,0.8227751068459979
23,6,Marilu Henner,5.0,7.0,2.0,-2.0,0.8512883819966818
23,6,Ryan Lochte,7.0,9.0,2.0,-2.0,0.7061969584291766
23,7,James Hinchcliffe,1.0,3.0,2.0,-2.0,0.9101561259796542
23,7,Ryan Lochte,6.0,8.0,2.0,-2.0,0.691202108578105
23,9,Jana Kramer,1.0,3.0,2.0,-2.0,0.8597950340375409
23,9,Terra Jole,3.0,5.0,2.0,-2.0,0.7706697584064517
24,1,Rashad Jennings,2.0,4.0,2.0,-2.0,1.0
24,2,Nancy Kerrigan,5.0,7.0,2.0,-2.0,0.9456789052975328
24,2,Normani,1.0,3.0,2.0,-2.0,1.0
24,2,Rashad Jennings,1.0,3.0,2.0,-2.0,1.0
24,3,Mr. T,9.0,11.0,2.0,-2.0,0.6693510962574205
24,5,Erika Jayne,6.0,8.0,2.0,-2.0,0.8059880598840529
24,5,Nancy Kerrigan,3.0,5.0,2.0,-2.0,0.9270820632292306
24,5,Nick Viall,4.0,6.0,2.0,-2.0,0.8742318964181701
24,9,Simone Biles,1.0,3.0,2.0,-2.0,0.8246033228515725
24,10,Rashad Jennings,1.0,3.0,2.0,-2.0,0.3266144185232065
25,2,Debbie Gibson,7.0,9.0,2.0,-2.0,0.8832292126654966
25,2,Frankie Muniz,1.0,3.0,2.0,-2.0,1.0
25,2,Jordan Fisher,1.0,3.0,2.0,-2.0,1.0
25,2,Vanessa Lachey,3.0,5.0,2.0,-2.0,0.9862301422993962
25,4,Drew Scott,4.0,6.0,2.0,-2.0,0.9450754972662602
25,5,Jordan Fisher,1.0,3.0,2.0,-2.0,0.9965229109355653
25,7,Victoria Arlen,2.0,4.0,2.0,-2.0,0.9111082722281297
25,9,Jordan Fisher,1.0,3.0,2.0,-2.0,0.8925317722434949
25,10,Jordan Fisher,1.0,3.0,2.0,-2.0,0.34276730334765293
26,1,Adam Rippon,1.0,3.0,2.0,-2.0,1.0
26,1,Josh Norman,1.0,3.0,2.0,-2.0,1.0
26,2,Chris Mazdzer,4.0,6.0,2.0,-2.0,0.896935806967433
26,4,Adam Rippon,1.0,3.0,2.0,-2.0,0.3972705913638006
27,1,Danelle Umstead,9.0,11.0,2.0,-2.0,0.875536946295086
27,1,DeMarcus Ware,1.0,3.0,2.0,-2.0,1.0
27,1,Mary Lou Retton,5.0,7.0,2.0,-2.0,0.9644976917557623
27,1,Nancy McKeon,8.0,10.0,2.0,-2.0,0.9086928751654277
27,1,Tinashe,1.0,3.0,2.0,-2.0,1.0
27,2,Evanna Lynch,5.0,7.0,2.0,-2.0,0.9501326392859926
27,2,Juan Pablo Di Pace,1.0,3.0,2.0,-2.0,1.0
27,2,Milo Manheim,1.0,3.0,2.0,-2.0,1.0
27,2,Tinashe,1.0,3.0,2.0,-2.0,1.0
27,6,Joe Amabile,7.0,9.0,2.0,-2.0,0.6347772248586814
27,6,Juan Pablo Di Pace,1.0,3.0,2.0,-2.0,1.0
27,6,Milo Manheim,1.0,3.0,2.0,-2.0,1.0
27,9,Evanna Lynch,1.0,3.0,2.0,-2.0,0.4267504992781731
28,1,James Van Der Beek,1.0,3.0,2.0,-2.0,1.0
28,1,Sailor Brinkley-Cook,4.0,6.0,2.0,-2.0,0.9379750219162912
28,3,Hannah Brown,5.0,7.0,2.0,-2.0,0.9382605709339529
28,3,Sailor Brinkley-Cook,3.0,5.0,2.0,-2.0,0.9714025888523468
28,4,Karamo Brown,6.0,8.0,2.0,-2.0,0.8131983127995694
28,5,James Van Der Beek,2.0,4.0,2.0,-2.0,0.9698672611445152
28,6,Karamo Brown,6.0,8.0,2.0,-2.0,0.780354521471264
28,8,Hannah Brown,2.0,4.0,2.0,-2.0,0.9101807375509734
28,8,James Van Der Beek,1.0,3.0,2.0,-2.0,0.9671488266880968
28,10,Lauren Alaina,3.0,5.0,2.0,-2.0,0.6907018247898576
29,2,Carole Baskin,12.0,14.0,2.0,-2.0,0.7677395485619699
29,2,Nev Schulman,2.0,4.0,2.0,-2.0,0.9925665128039439
29,3,AJ McLean,7.0,9.0,2.0,-2.0,0.929954289460039
29,3,Nelly,11.0,13.0,2.0,-2.0,0.8136301908639245
29,4,Anne Heche,10.0,12.0,2.0,-2.0,0.8086011268971502
29,5,Jeannie Mai,5.0,7.0,2.0,-2.0,0.9026310153068544
29,5,Johnny Weir,1.0,3.0,2.0,-2.0,1.0
29,6,Nelly,7.0,9.0,2.0,-2.0,0.8166056040902576
29,8,Nev Schulman,1.0,3.0,2.0,-2.0,0.9390897810819274
29,10,Nev Schulman,1.0,3.0,2.0,-2.0,0.888235223707553
29,11,Kaitlyn Bristowe,1.0,3.0,2.0,-2.0,0.3294833053736407
30,1,Amanda Kloots,2.0,4.0,2.0,-2.0,1.0
30,1,Suni Lee,2.0,4.0,2.0,-2.0,1.0
30,2,Cody Rigsby,10.0,12.0,2.0,-2.0,0.9085526335213947
30,2,Iman Shumpert,9.0,11.0,2.0,-2.0,0.9171111646306314
30,2,Melanie C,3.0,5.0,2.0,-2.0,1.0
30,3,Brian Austin Green,12.0,14.0,2.0,-2.0,0.76154721492965
30,3,JoJo Siwa,1.0,3.0,2.0,-2.0,0.9993123698254882
30,3,Kenya Moore,7.0,9.0,2.0,-2.0,0.9037423700215022
30,3,"Mike ""The Miz"" Mizanin",5.0,7.0,2.0,-2.0,0.9468978248463229
30,4,JoJo Siwa,2.0,4.0,2.0,-2.0,0.9796917741690775
30,4,Melora Hardin,1.0,3.0,2.0,-2.0,1.0
30,5,Suni Lee,3.0,5.0,2.0,-2.0,0.9392360206299171
30,6,JoJo Siwa,1.0,3.0,2.0,-2.0,0.9823110357438452
30,8,Amanda Kloots,1.0,3.0,2.0,-2.0,0.9396837206474423
30,8,Cody Rigsby,5.0,7.0,2.0,-2.0,0.782520709375276
30,10,JoJo Siwa,1.0,3.0,2.0,-2.0,0.3044660065189304
31,2,Heidi D'Amelio,6.0,8.0,2.0,-2.0,0.9478145292273166
31,2,Jessie James Decker,12.0,14.0,2.0,-2.0,0.784383342172785
31,3,Jessie James Decker,11.0,13.0,2.0,-2.0,0.7357919571263618
31,3,Jordin Sparks,7.0,9.0,2.0,-2.0,0.9123852823692715
31,4,Charli D'Amelio,1.0,3.0,2.0,-2.0,1.0
31,4,Gabby Windey,1.0,3.0,2.0,-2.0,1.0
31,4,Shangela,6.0,8.0,2.0,-2.0,0.9212294358912315
31,4,Wayne Brady,1.0,3.0,2.0,-2.0,1.0
31,5,Trevor Donovan,7.0,9.0,2.0,-2.0,0.894967346899805
31,6,Heidi D'Amelio,3.0,5.0,2.0,-2.0,0.9401782145555384
31,6,Trevor Donovan,5.0,7.0,2.0,-2.0,0.8798589733901447
31,7,Charli D'Amelio,1.0,3.0,2.0,-2.0,0.950717517291287
31,8,Charli D'Amelio,1.0,3.0,2.0,-2.0,0.9641975275642278
31,8,Shangela,3.0,5.0,2.0,-2.0,0.9276903795218429
31,10,Gabby Windey,1.0,3.0,2.0,-2.0,0.3327302140775056
32,2,Jason Mraz,1.0,3.0,2.0,-2.0,1.0
32,2,Lele Pons,3.0,5.0,2.0,-2.0,0.982895657843398
32,2,Xochitl Gomez,1.0,3.0,2.0,-2.0,1.0
32,3,Ariana Madix,1.0,3.0,2.0,-2.0,1.0
32,3,Harry Jowsey,8.0,10.0,2.0,-2.0,0.7867424421289485
32,3,Jason Mraz,1.0,3.0,2.0,-2.0,1.0
32,4,Adrian Peterson,6.0,8.0,2.0,-2.0,0.7989389539942913
32,4,Mauricio Umansky,9.0,11.0,2.0,-2.0,0.7040235018696512
32,7,Xochitl Gomez,1.0,3.0,2.0,-2.0,0.9217094091735086
32,10,Xochitl Gomez,1.0,3.0,2.0,-2.0,0.8922781923291215
33,2,Phaedra Parks,5.0,7.0,2.0,-2.0,0.9295885997157969
33,3,Phaedra Parks,7.0,9.0,2.0,-2.0,0.8909768062099046
33,4,Brooks Nader,4.0,6.0,2.0,-2.0,0.8774627860252369
33,4,Danny Amendola,1.0,3.0,2.0,-2.0,0.9364089964615017
33,5,Danny Amendola,4.0,6.0,2.0,-2.0,0.8686967435668211
33,5,Dwight Howard ,6.0,8.0,2.0,-2.0,0.7681171970147102
33,7,Chandler Kinney,1.0,3.0,2.0,-2.0,0.9248991266777885
33,8,Chandler Kinney,1.0,3.0,2.0,-2.0,0.8755887659137715
33,9,Stephen Nedoroscik,2.0,4.0,2.0,-2.0,0.3426045415395327
34,5,Scott Hoying,6.0,8.0,2.0,-2.0,0.7938020377318549
34,6,Robert Irwin,3.0,5.0,2.0,-2.0,0.9391210903857163
34,7,Whitney Leavitt,2.0,4.0,2.0,-2.0,1.0
34,9,Dylan Efron,1.0,3.0,2.0,-2.0,0.9137108759721376
34,10,Alix Earle,2.0,4.0,2.0,-2.0,0.8555102323711805
34,10,Elaine Hendrix,4.0,6.0,2.0,-2.0,0.735152494104343
34,11,Robert Irwin,2.0,4.0,2.0,-2.0,0.3248376784009046
